Project Name,Package Name,Type Name,Method Name,Code Smell
berkeley,edu.berkeley.nlp.lm.io,MakeKneserNeyArpaFromText,main,Magic Number
berkeley,edu.berkeley.nlp.lm.io,ArpaLmReader,parseNGrams,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,KneserNeyLmReaderCallback,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,addNgram,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,addNgram,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getHighestOrderProb,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getLowerOrderProb,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getLowerOrderBackoff,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getDiscountForOrder,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getDiscountForOrder,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getCounts,Complex Conditional
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getCounts,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Complex Conditional
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Complex Conditional
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Complex Method
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,parse,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getProbBackoff,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyLmReaderCallback,getProbBackoff,Magic Number
berkeley,edu.berkeley.nlp.lm.io,TextReader,countNgrams,Magic Number
berkeley,edu.berkeley.nlp.lm.io,TextReader,countNgrams,Magic Number
berkeley,edu.berkeley.nlp.lm.io,TextReader,getLineIterator,Long Statement
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,allocatedNumNgramArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,allocatedNumNgramArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,allocatedNumNgramForOrderArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.io,FirstPassCallback,allocatedNumNgramForOrderArrayIfNecessary,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFileWritingLmReaderCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,NgramMapAddingCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,MakeLmBinaryFromGoogle,main,Magic Number
berkeley,edu.berkeley.nlp.lm.io,MakeNgramMapBinaryFromGoogle,main,Magic Number
berkeley,edu.berkeley.nlp.lm.io,ComputeLogProbabilityOfTextStream,computeProb,Long Statement
berkeley,edu.berkeley.nlp.lm.io,MakeLmBinaryFromArpa,main,Magic Number
berkeley,edu.berkeley.nlp.lm.io,LmReaderCallback,call,Long Parameter List
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Complex Method
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Long Statement
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getBackoffSum,Long Parameter List
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getBackoffSum,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getBackoffSum,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getBackoffSum,Magic Number
berkeley,edu.berkeley.nlp.lm,ArrayEncodedProbBackoffLm,getBackoffSum,Magic Number
